purchase_order_id,product_id,supplier_id,supplier_name,order_date,expected_delivery_date,order_quantity,unit_cost,total_cost,status
PO-000331,FUR-CH-10004063,SUP-FUR-03,Summit Office Interiors,2014-12-13,2014-12-30,13,$290.09,"$3,771.17",Closed
PO-004666,TEC-PH-10004539,SUP-TEC-04,CoreLink Systems,2014-12-22,2014-12-30,11,$142.74,"$1,570.14",Closed
PO-000069,FUR-BO-10003433,SUP-FUR-04,Cedar Contract Goods,2014-12-23,2015-01-09,11,$22.77,$250.47,Closed
PO-000478,FUR-FU-10000965,SUP-FUR-01,Northwood Furnishings,2014-12-23,2015-01-08,12,$17.29,$207.48,Closed
PO-001500,OFF-AR-10003478,SUP-OFF-02,Metro Stationery Co.,2014-12-23,2014-12-31,11,$5.17,$56.87,Closed
PO-002614,OFF-LA-10003223,SUP-OFF-02,Metro Stationery Co.,2014-12-23,2014-12-30,13,$4.06,$52.78,Closed
PO-002711,OFF-PA-10000174,SUP-OFF-01,Pinnacle Paper & Office,2014-12-23,2015-01-01,10,$2.12,$21.20,Closed
PO-000126,FUR-CH-10000422,SUP-FUR-03,Summit Office Interiors,2014-12-24,2015-01-09,12,$47.39,$568.68,Closed
PO-000389,FUR-FU-10000010,SUP-FUR-02,Atlas Workspace Supply,2014-12-24,2015-01-06,11,$2.58,$28.38,Closed
PO-002094,OFF-BI-10003708,SUP-OFF-02,Metro Stationery Co.,2014-12-24,2015-01-02,10,$3.21,$32.10,Closed
PO-002218,OFF-BI-10004632,SUP-OFF-03,Prime Workplace Essentials,2014-12-24,2015-01-01,10,$107.78,"$1,077.80",Closed
PO-001433,OFF-AR-10002399,SUP-OFF-01,Pinnacle Paper & Office,2014-12-25,2014-12-31,10,$3.29,$32.90,Closed
PO-000060,FUR-BO-10003034,SUP-FUR-01,Northwood Furnishings,2014-12-26,2015-01-08,11,$85.78,$943.58,Closed
PO-000834,FUR-FU-10004864,SUP-FUR-01,Northwood Furnishings,2014-12-26,2015-01-05,10,$24.74,$247.40,Closed
